N,P,K,temperature,humidity,ph,rainfall,label
74.9816047538945,63.52142919229749,49.6398788362281,24.789267873576293,80.18426096619412,5.733991780504304,184.64668897345595,rice
94.6470458309974,53.03345035229626,49.161451555920905,20.16467595436642,91.57873793026792,6.7486639612006325,196.9871288542621,rice
67.27299868828402,40.50213529560301,41.08484485919075,24.198051453057904,84.04723026098962,5.936843710297063,228.94823157779035,rice
65.57975442608168,43.76433945605655,42.327236865873836,23.64855987373629,88.99246345950219,5.799510673237539,221.13875507308893,rice
83.6965827544817,36.39351238159993,47.150897038028766,21.36419298949833,78.91072230179391,6.92332830588,257.25056264596475,rice
92.33589392465845,44.13841307520112,36.953442280127675,25.473864212097254,84.16213491235442,5.683057352267168,219.61415280890162,rice
61.375540844608736,62.27961206236346,40.17559963200034,25.300178274831858,82.36395506525176,6.280102031766717,223.73682234746238,rice
67.39417822102108,64.08753883293676,50.502656467222295,27.515991532513514,90.52758290598709,6.396849968216628,253.74993880184934,rice
63.53970008207678,40.87948587257436,35.90454577821076,22.602642646106116,83.44148205565274,5.9070235476608435,246.29900073215435,rice
74.27013306774357,43.42803529062142,45.85392166316497,21.1273937997981,89.23075773055655,5.611825965519656,258.95095492804137,rice
90.8897907718663,40.961470446025174,35.11044234247205,26.523691427638674,87.89600281386664,6.593510752061481,241.70162773487567,rice
62.96178606936361,45.75397185632818,37.317381190502594,26.90482740700475,86.7261737755858,5.996347037278974,185.08466802288189,rice
72.4392928686265,44.755499660802414,49.59212356676128,25.100459770841706,90.42097839606858,6.208322387742924,189.56753967506413,rice
88.5297914889198,57.82355145850693,46.22554395138992,26.16773743963649,84.91313834910147,6.284099244072991,214.20328146868397,rice
61.01676506976381,38.23674280979913,35.628583713734685,25.091283290110244,82.40098373506858,6.2628560367470545,252.60531791408744,rice
69.971689165955,47.31148769106889,50.11102277086097,21.83038532393298,79.0777187376031,5.934627179370652,192.89770298032036,rice
97.18790609370292,59.24361138693251,47.66807513020847,26.97168472150174,89.2514090765876,5.779855088329054,251.40471987919824,rice
81.57368967662603,59.22320465492187,52.92182599846986,22.54402779977491,79.54072694338747,5.841902743812913,214.1686230901005,rice
92.72059063689971,60.82191749769031,35.13904261062381,24.085978420620528,83.8437540440829,5.833161715706096,189.58922938669463,rice
73.50460685614512,63.287291117375574,41.464058640415104,24.15032497394693,87.84226542453248,6.045444403568941,257.74256661767686,rice
98.49789179768445,42.553468874760924,44.94497011784771,22.407026478534156,81.98776692128455,5.555330421031799,228.76514671839175,rice
80.10716092915446,36.54436253749968,40.572929284732226,27.26612708773323,81.35386646933762,5.717342308136835,219.15622082220506,rice
99.42601816442402,42.26165814534501,48.44271094811757,26.09295692262974,81.3269256158936,6.59232452291779,209.42265061754026,rice
85.29223322374318,54.00589132282684,45.71549368149517,20.722318160435265,89.69423493824934,5.981170097457603,194.92148083198833,rice
61.63100566219056,52.72678829564725,48.55128723684565,20.13270263142285,85.16930281618994,5.839743662796907,231.61382323275598,rice
66.97465716019965,55.72813214307398,42.734706926010745,27.493839909893875,79.9252932180439,6.011599526575388,189.07788169924711,rice
96.98774473114251,61.32018060142943,40.15883255430311,25.27987236827343,89.44111080281702,6.332801217399194,222.37204626848052,rice
69.67409163601806,37.79308303417697,52.944315159066534,27.203344457306642,86.86342040182575,6.008544686573051,207.93676596901287,rice
89.03822715480958,61.913307798577314,52.741728485302346,26.23900436686099,86.98844304616003,5.6262099474925735,192.9302971275691,rice
95.94216754108317,53.1928717897877,35.18394103233259,20.811772342928258,87.28902476751279,5.507592375769328,192.8646441133999,rice
81.94935157466344,55.7568559307808,48.03922519005201,21.79415447568448,87.9705090988655,5.8558736312452,206.03197585274143,rice
89.85965620472096,54.48898697141644,51.98446820988356,25.260903138402746,85.95632044669661,5.640512151742139,209.41726424475468,rice
70.60809470726902,42.319689301372506,54.46021109504891,23.144781797334083,90.48865177247959,6.446707938995894,243.58490428333187,rice
80.10548372420769,52.30711653879077,44.85035387637728,21.561943902384357,88.11432961366107,5.921158543661283,181.94527731451632,rice
85.81889183628671,40.31332038221147,53.80917168705828,27.6314286160207,90.80810146308627,6.055238050383167,181.2365293223094,rice
97.13274250350901,47.84552444951943,54.33309638087339,27.70895981671402,89.94213237654304,5.941673338104379,210.807818288154,rice
94.04546686067428,44.50766015468833,38.38985493372185,24.454410099666802,91.10616683825093,6.54404469501246,225.6048936071492,rice
63.887059750830744,53.45021680097509,54.801077002085265,21.12067212189219,85.25661513309231,6.816059607891933,239.26148942033635,rice
87.88062963981072,56.07452251961328,42.1898230243951,22.348734754115945,89.33105617669919,6.715170092018771,249.3657854864083,rice
96.52962210225886,50.34027196582814,45.03032589374399,26.3863614317342,87.0994950308887,6.552950315886555,243.66341355488808,rice
95.60021367270265,45.13985470554607,42.511659052798876,20.751855518726952,86.09592197394643,5.553913410695113,217.2478414505968,rice
